what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430106812254
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430106812254
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430106813582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430106828604
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430106829759
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430106830464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430106846676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430106847565
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430106868818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430107093953
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430107093969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430107095312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430107096373
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430107097125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430107101840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430107102745
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430107150075
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430107236509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430107240550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430107243389
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430107244626
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430107261422
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430107277859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430107278983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430107280527
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430107281388
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430107293850
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430107315320
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430107331858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430107333090
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430107333733
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430107354348
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430107451679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430107456327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430107457170
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430107457953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430107469331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430107470142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430107475685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430107476577
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430107539789
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430107784247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430107790973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430107791784
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430107792414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430107869702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430107870466
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430107880798
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430107931135
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430108007527
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430108041072
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430108052355
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430108063324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430108086853
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430108087711
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430108088338
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430108103130
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430108142562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430108146446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430108148864
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430108150599
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430108176612
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430108182106
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430108186287
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430108204154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430108227798
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430108227954
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430108229030
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1430108230575
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430108230762
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1430108231714
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430108231870
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1430108232525
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430108232728
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430108232759
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430108235270
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430108236206
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430108242667
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430108242667
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430108244369
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430108245321
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430108251484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430108252638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430108253637
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430108254732
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430108261788
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430108272008
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430108294244
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430108343539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430108345224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430108346788
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430108347634
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430108351052
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430108377622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430108380027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430108381088
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430108382073
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430108388128
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430108397270
