what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430114710688
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430114712264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430114713144
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430114713802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430114717724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430114718536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430114728530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430114729498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430114737952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430114743678
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430114743711
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430114748636
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430114778821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430114781480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430114782384
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430114783140
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430114794716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430114803807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430114811910
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430114834222
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430114836671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430114838980
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430114839807
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430114841026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430114845895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430114846768
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430114863171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430114880822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430114885003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430114909067
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430114917806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430114919305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430114920085
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430114920696
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430114924473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430114925222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430114945199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115019525
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430115019558
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430115035070
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430115043638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115090774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115179726
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430115226004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115238020
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115238987
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430115239754
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115242736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115243656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115248483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115249356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115258410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115259268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115266938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115267858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115271685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115273043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115277228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115278414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1430115289436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115290559
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115291354
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1430115293184
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430115297773
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430115306573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115307634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115308554
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430115315969
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430115350097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115356321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115357228
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430115357761
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430115375359
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430115384583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115386018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115387438
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430115388425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115391313
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115392499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115402426
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115403159
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115404844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115405608
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430115420051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1430115427714
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1430115430709
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430115434156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115444191
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115447171
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430115448032
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1430115450482
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.eof",1430115451715
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115455601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430115455944
