what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1430102800336
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1430102805566
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430102864606
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430102888646
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430102891146
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430102950272
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430102996021
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430103012469
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430103078222
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1430103128623
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1430103130243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430103164546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430103187093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430103218489
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430103226419
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430103237998
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1430103241888
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430103330585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430103349185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430103350185
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430103350888
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430103356504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430103357434
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1430103359074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430103370293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430103417203
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430103417223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430103431643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430103433113
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430103433956
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430103443389
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430103519024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430103533232
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430103533902
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430103536946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430103542428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430103548893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430103556253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430103558073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430103560543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430103562663
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430103562703
